"country","province","city","total_fatalities"
"Canada","Quebec","Drummondville","1"
"Canada","Quebec","Hervey-Junction Railway Station","0"
"Canada","Quebec","Kangiqsualujjuaq Georges River Airport","9"
"Canada","Quebec","L'Ange-Gardien","0"
"Canada","Quebec","Lac Aylmer","0"
"Canada","Quebec","Lourdes-de-Blanc-Sablon Airport","2"
"Canada","Quebec","Magdalen Islands","8"
"Canada","Quebec","Matagami","0"
"Canada","Quebec","Mont-Saint-Hilaire","2"
"Canada","Quebec","Montreal","87"
"Canada","Quebec","Nord-du-Québec","35"
"Canada","Quebec","Notre-Dame-de-Pierreville","0"
"Canada","Quebec","Notre-Dame-du-Lac","0"
"Canada","Quebec","Oka","1"
"Canada","Quebec","Québec","41"
"Canada","Quebec","Refuge d'oiseaux de la baie Boatswain","2"
"Canada","Quebec","Roland-Désourdy Airport","33"
"Canada","Quebec","Saint-Amable","0"
"Canada","Quebec","Saint-Joseph-de-Beauce","0"
"Canada","Quebec","Sainte-Anne-des-Plaines","0"
"Canada","Quebec","Sainte-Brigitte-de-Laval","0"
"Canada","Quebec","Senneville","6"
"Canada","Saskatchewan","Crutwell","0"
"Canada","Saskatchewan","Dillon","0"
"Canada","Saskatchewan","Estevan",""
"Canada","Saskatchewan","Grand Coulee","0"
"Canada","Saskatchewan","La Ronge","0"
"Canada","Saskatchewan","Montreal Lake","0"
"Canada","Saskatchewan","Pelican Narrows","0"
"Canada","Saskatchewan","Peter Pond Lake","0"
"Canada","Saskatchewan","Prince Albert","0"
"Canada","Saskatchewan","Regina","0"
"Canada","Saskatchewan","Saskatoon","0"
"Canada","Saskatchewan","Turnor Lake","0"
"Canada","Saskatchewan","Vanguard","0"
"Canada","Yukon","Burwash Landing","0"
"Canada","Yukon","Old Crow Airport","0"
"France","Centre-Val de Loire","Cuzion","0"
"Saint Pierre and Miquelon","","Saint Pierre and Miquelon","21"
"Saudi Arabia","Makkah","Jeddah","261"
"United States","Alaska","Mount Saint Elias","24"
"United States","Florida","Northeast Florida Regional Airport",""
"United States","Indiana","Corunna","0"
"United States","Indiana","Walkerton","6"
"United States","New York","New York","48"
"United States","Oklahoma","Midwest City",""
