56,Vancouver,British Columbia,Canada,Yes,-123.11934,49.24966,populated place,British Columbia,600000
57,Angel Peak,British Columbia,Canada,Yes,-124.85859,58.48553,peak,British Columbia,0
58,Inner Seas off the West Coast of Scotland,,,No,-10.45898,56.71657,sea, off coast,0
59,Icelandic River,Manitoba,Canada,Yes,-96.96066,51.02781,stream,Icelandic River MB,0
60,Fisher River 44,Manitoba,Canada,Yes,-97.35488,51.43281,reservation,Fisher River MB,0
61,Saint John River,New Brunswick,Canada,Yes,-66.06525,45.26664,stream,Saint John River NB,0
62,Woodstock,New Brunswick,Canada,Yes,-67.58377,46.15796,populated place,Woodstock NB,0
63,Canning,Nova Scotia,Canada,Yes,-64.4252,45.15792,populated place,Canning NS,0
64,Réserve de Waswanipi,Quebec,Canada,Yes,-76.24935,50.25019,reserve,Waswanipi reserve QC,0
65,Grand Falls-Windsor,Newfoundland and Labrador,Canada,Yes,-55.66492,48.93324,populated place,Grand Falls NL,12076
66,Upper Gagetown,New Brunswick,Canada,Yes,-66.23216,45.85013,area,Upper Gagetown NB,0
67,Burton,New Brunswick,Canada,Yes,-66.44855,45.86153,populated place,Burton NB,0
68,St. Clair Lake,Ontario,Canada,Yes,-84.05096,47.23418,lake,Lake St. Clair ON,0
69,Westmount,Quebec,Canada,Yes,-73.59918,45.48341,populated place,Westmount QC,20494
70,Emerson,Manitoba,Canada,Yes,-97.21537,49.00688,populated place,Emerson MB,0
71,Goulais River,Ontario,Canada,Yes,-84.44995,46.71677,stream,Goulais River ON,0
72,Whitedog Lake,Ontario,Canada,Yes,-94.88977,50.15793,lake,Whitedog Lake ON,0
73,Come By Chance,Newfoundland and Labrador,Canada,Yes,-53.98143,47.8499,populated place,Come by Chance NL,0
74,Duck Mountain Provincial Park,Manitoba,Canada,Yes,-100.91528,51.6661,reserve,Duck Mountain MB,0
75,Swan River,Manitoba,Canada,Yes,-101.26759,52.1058,populated place,Swan River MB,4198
76,Saint Romuald,Quebec,Canada,Yes,-71.23921,46.75818,populated place,Saint-Romuald QC,0
77,Linton,Quebec,Canada,Yes,-72.24908,47.25006,administrative division,Linton QC,0
78,Sarnia,Ontario,Canada,Yes,-82.40407,42.97866,populated place,Sarnia ON,82998
79,Lethbridge,Alberta,Canada,Yes,-112.81856,49.69999,populated place,Lethbridge AB,70617
80,Taber,Alberta,Canada,Yes,-112.14603,49.78703,populated place,Taber AB,8163
81,Irma,Alberta,Canada,Yes,-111.22942,52.91318,second-order administrative division,Irma AB,0
82,Wainwright,Alberta,Canada,Yes,-110.85342,52.83482,populated place,Wainwright AB,5380
83,Louiseville,Quebec,Canada,Yes,-72.94145,46.25594,populated place,Louiseville QC,5819
84,Yamachiche,Quebec,Canada,Yes,-72.83243,46.26676,populated place,Yamachiche QC,1255
85,Norman Wells,Northwest Territories,Canada,Yes,-126.8329,65.28201,populated place,Norman Wells NT,1027
86,Courtland Park,Ontario,Canada,Yes,-75.71212,45.37125,populated place,Courtland ON,0
87,Saint-Basile-le-Grand,Quebec,Canada,Yes,-73.28246,45.53338,populated place,Saint-Basile-le-Grand QC,15605
88,"United Counties of Stormont, Dundas and Glengarry",Ontario,Canada,Yes,-74.66597,45.25009,second-order administrative division,Dundas ON,0
89,Fort Albany Airport,Ontario,Canada,Yes,-81.6969,52.2014,airport,Albany ON,0
90,Otoskwin-Attawapiskat River Provincial Park,Ontario,Canada,Yes,-87.2499,52.08342,park,Attawapiskat River ON,0
91,Niagara Falls,Ontario,Canada,Yes,-79.06627,43.10012,populated place,Niagara Falls ON,82000
92,Dryden,Ontario,Canada,Yes,-92.75032,49.78334,populated place,Dryden ON,8195
93,Montmartre,Saskatchewan,Canada,Yes,-103.45105,50.23335,populated place,Montmartre SK,0
94,Liard River,Northwest Territories,Canada,Yes,-121.31128,61.84879,stream,Liard River NT,0
95,La Grande Rivière Airport,Quebec,Canada,Yes,-77.70417,53.62528,airport,Radisson QC,0
96,Saint-Jacques,Quebec,Canada,Yes,-73.56586,45.95007,populated place,Saint-Jacques QC,2985
97,Sudbury,Ontario,Canada,Yes,-80.99001,46.49,populated place,Sudbury ON,157857
98,Gulf of St. Lawrence,Quebec,Canada,Yes,-61.99859,48.2501,bay,Gulf of St. Lawrence QC,0
99,Ungava Peninsula,Quebec,Canada,Yes,-73.99897,60.00049,peninsula,Ungava Peninsula QC,0
100,Old Crow Airport,Yukon,Canada,Yes,-139.83917,67.57056,airport,Old Crow YT,0
101,Harrow,Ontario,Canada,Yes,-82.91654,42.03339,populated place,Harrow ON,0
102,Banff,Alberta,Canada,Yes,-115.56982,51.17622,populated place,Banff AB,7502
103,Hagersville,Ontario,Canada,Yes,-80.04965,42.96681,populated place,Hagersville ON,0
104,Vancouver Harbour SPB,British Columbia,Canada,Yes,-123.11511,49.29034,seaplane landing area,Vancouver Harbour BC,0
105,Refuge d'oiseaux de la baie Boatswain,Quebec,Canada,Yes,-78.8661,51.83349,reserve,La Baie QC,0
106,Sainte-Anne-des-Plaines,Quebec,Canada,Yes,-73.81156,45.76468,populated place,Sainte-Anne des Plaines QC,10680
107,Saint-Amable,Quebec,Canada,Yes,-73.29916,45.65008,populated place,St.-Amable QC,0
108,Joe Rich Creek,British Columbia,Canada,Yes,-119.15235,49.86648,stream,Joe Rich,0
109,Oka,Quebec,Canada,Yes,-74.08892,45.46489,populated place,Oka QC,1160
110,Magdalen Islands,Quebec,Canada,Yes,-61.89629,47.39277,island,Madeleine Islands QC,12781
111,Notre-Dame-de-Pierreville,Quebec,Canada,Yes,-72.88012,46.1042,populated place,Notre-Dame de Pierreville QC,0
112,Niverville,Manitoba,Canada,Yes,-97.04234,49.60559,populated place,Niverville MB,2000
113,Betsiamites,Quebec,Canada,Yes,-68.68287,48.95698,reservation,Betsiamites QC,0
114,St-Lazare,Manitoba,Canada,Yes,-101.30511,50.4489,populated place,St. Lazare MB,0
115,Jeddah,Makkah,Saudi Arabia,No,39.19797,21.54238,populated place,Saudi Arabia,2867446
116,Mecca,Makkah,Saudi Arabia,No,39.82563,21.42664,seat of a first-order administrative division,Saudi Arabia,1323624
117,Tabuk,Tabuk,Saudi Arabia,No,36.57151,28.3998,seat of a first-order administrative division,Saudi Arabia,455450
118,Kinsella,Alberta,Canada,Yes,-111.52389,53.00028,populated place,Kinsella AB,0
119,Jarvis,Ontario,Canada,Yes,-80.09965,42.88341,area,Jarvis ON,0
120,North Battleford,Saskatchewan,Canada,Yes,-108.2967,52.77972,populated place,Battleford SK,19440
121,Canso,Nova Scotia,Canada,Yes,-60.99851,45.33345,populated place,Canso NS,0
122,Vernon,British Columbia,Canada,Yes,-119.27337,50.26729,populated place,Vernon BC,47274
123,Grand Coulee,Saskatchewan,Canada,Yes,-104.81781,50.43338,populated place,Grand Coulee SK,0
124,Corunna,Indiana,United States,No,-85.14719,41.43727,populated place,Corunna ON,255
125,Elmira,Ontario,Canada,Yes,-80.5497,43.60009,populated place,Elmira ON,0
126,Port au Choix,Newfoundland and Labrador,Canada,Yes,-57.36492,50.71677,populated place,Port au Choix NL,0
127,Peace River,Alberta,Canada,Yes,-117.29176,56.23715,populated place,Peace River AB,5340
128,Saskatchewan River Crossing,Alberta,Canada,Yes,-116.74662,51.97499,populated locality,Saskatchewan River AB,0
129,Channel-Port aux Basques,Newfoundland and Labrador,Canada,Yes,-59.13808,47.57286,populated place,Port-aux-Basques NL,4220
130,Hay River,Northwest Territories,Canada,Yes,-115.79993,60.81555,populated place,Hay River NT,3400
131,Little Plymouth Lake,Nova Scotia,Canada,Yes,-66.02743,43.79979,lake,Plymouth NS,0
132,Attawapiskat Airport,Ontario,Canada,Yes,-82.4319,52.9275,airport,Attawapiskat ON,0
133,Longlac,Ontario,Canada,Yes,-86.51666,49.80014,area,Longlac ON,0
134,Oakville,Manitoba,Canada,Yes,-98.00461,49.92941,populated place,Oakville MB,0
135,Yellowknife,Northwest Territories,Canada,Yes,-114.37248,62.45411,seat of a first-order administrative division,Yellowknife NT,15865
136,Avalon Wilderness Reserve,Newfoundland and Labrador,Canada,Yes,-53.25119,47.04799,reserve,Avalon NL,0
137,Bonavista,Newfoundland and Labrador,Canada,Yes,-53.11474,48.64989,populated place,Bonavista NL,3658
138,Trinity East,Newfoundland and Labrador,Canada,Yes,-53.33137,48.38319,area,Trinity NL,0
139,Charlottetown,Prince Edward Island,Canada,Yes,-63.13414,46.23899,seat of a first-order administrative division,Prince Edward Island,42402
140,Summerside Airport,Prince Edward Island,Canada,Yes,-63.83361,46.44056,airport,Prince Edward Island,0
141,Charlottetown Airport,Prince Edward Island,Canada,Yes,-63.1265,46.2864,airport,Prince Edward Island,0
142,Shubenacadie 13,Nova Scotia,Canada,Yes,-63.60509,44.93487,reservation,Shubenacadie NS,0
143,Québec,Quebec,Canada,Yes,-71.21454,46.81228,seat of a first-order administrative division,Quebec,528595
144,Nord-du-Québec,Quebec,Canada,Yes,-74.8961,51.962,second-order administrative division,Quebec,42000
145,Truro,Nova Scotia,Canada,Yes,-63.26538,45.36685,populated place,Truro NS,20650
146,Windsor,Ontario,Canada,Yes,-83.01654,42.30008,populated place,Windsor ON,278013
147,Kirkland Lake,Ontario,Canada,Yes,-80.03767,48.14461,populated place,Kirkland Lake ON,7775
148,Senneville,Quebec,Canada,Yes,-73.95476,45.41258,area,area QC,0
149,Plaster Rock,New Brunswick,Canada,Yes,-67.38997,46.90654,populated place,Plaster Rock NB,0
150,Lac Aylmer,Quebec,Canada,Yes,-71.34281,45.82234,lake,Aylmer QC,0
151,Salmon Arm,British Columbia,Canada,Yes,-119.30237,50.6998,populated place,Salmon Arm BC,16205
152,Poplar Bay,Alberta,Canada,Yes,-114.10385,53.00463,second-order administrative division,Poplar Bay AB,0
153,Hervey-Junction Railway Station,Quebec,Canada,Yes,-72.4643,46.85444,railroad station,Hervey Junction QC,0
154,Lourdes-de-Blanc-Sablon Airport,Quebec,Canada,Yes,-57.18528,51.44361,airport,Blanc Sablon QC,0
155,Wood River,Saskatchewan,Canada,Yes,-106.65122,49.70006,area,Saskatchewan River SK,0
156,Burin Peninsula,Newfoundland and Labrador,Canada,Yes,-55.66503,46.99994,peninsula,Burin Peninsula NL,0
157,Hamilton,Ontario,Canada,Yes,-79.84963,43.25011,populated place,Hamilton ON,519949
158,Grande Prairie,Alberta,Canada,Yes,-118.80271,55.16667,populated place,Grande Prairie AB,41462
159,Flat Bay West,Newfoundland and Labrador,Canada,Yes,-58.59852,48.40002,area,Flat Bay NL,0
160,Grey County,Ontario,Canada,Yes,-80.74972,44.33339,second-order administrative division,Grey County ON,0
161,Guelph,Ontario,Canada,Yes,-80.25599,43.54594,populated place,Wellington ON,115760
162,Dufferin County,Ontario,Canada,Yes,-80.24968,44.0834,second-order administrative division,Dufferin County ON,0
163,Timmins,Ontario,Canada,Yes,-81.33312,48.46686,populated place,Timmins ON,42997
164,Atikokan,Ontario,Canada,Yes,-91.62409,48.75667,populated place,Atikokan ON,3400
